Diện tích,Mức giá,Mặt tiền,Số tầng,Đường vào,Số phòng ngủ,Số toilet
34.0,7.6,4.0,4.0,4.0,3.0,3.0
31.0,7.65,4.0,4.0,8.0,3.0,3.0
110.0,43.6,18.0,7.0,40.0,3.0,5.0
134.0,40.0,6.0,4.0,7.0,5.0,4.0
92.0,15.8,4.0,6.0,4.0,4.0,5.0
50.0,13.8,4.0,5.0,12.0,4.0,4.0
230.0,0.29,10.0,4.0,15.0,4.0,4.0
212.0,0.6,12.0,4.0,25.0,9.0,4.0
240.0,58.0,11.0,3.0,8.0,4.0,3.0
50.0,11.5,3.0,5.0,3.0,5.0,5.0
56.0,12.2,4.0,4.0,8.0,5.0,5.0
51.0,8.5,3.0,2.0,2.0,2.0,2.0
54.0,9.8,4.0,4.0,5.0,4.0,4.0
120.0,38.0,6.0,5.0,50.0,3.0,3.0
126.0,36.8,5.0,6.0,24.0,6.0,6.0
62.0,9.9,10.0,1.0,26.0,1.0,1.0
35.0,7.8,3.0,6.0,6.0,3.0,5.0
35.0,2.54,4.0,3.0,2.0,4.0,3.0
36.0,4.5,5.0,5.0,3.0,6.0,4.0
282.0,79.0,14.0,4.0,14.0,5.0,4.0
45.0,8.0,4.0,5.0,2.0,6.0,4.0
42.0,12.8,4.0,5.0,5.0,5.0,4.0
61.0,0.3,5.0,3.0,6.0,5.0,3.0
50.0,6.8,4.0,3.0,5.0,2.0,2.0
42.0,17.8,6.0,4.0,4.0,4.0,3.0
49.0,12.1,4.0,6.0,3.0,6.0,5.0
41.0,7.35,4.0,5.0,5.0,3.0,4.0
45.0,9.8,3.0,4.0,5.0,4.0,3.0
40.0,8.0,4.0,5.0,35.0,4.0,5.0
35.0,6.8,36.0,5.0,3.0,3.0,5.0
99.0,43.9,14.0,3.0,40.0,3.0,3.0
115.0,28.5,5.0,3.0,13.0,4.0,5.0
35.0,5.35,5.0,5.0,3.0,3.0,4.0
40.0,9.5,5.0,5.0,4.0,4.0,3.0
42.0,7.8,4.0,5.0,3.0,3.0,4.0
32.0,4.5,5.0,5.0,5.0,3.0,4.0
38.0,15.3,6.0,7.0,15.0,6.0,6.0
55.0,12.5,5.0,8.0,6.0,6.0,6.0
120.0,25.0,6.0,4.0,10.0,6.0,6.0
45.0,6.6,4.0,5.0,3.0,5.0,4.0
95.0,15.3,4.0,4.0,4.0,4.0,3.0
85.0,14.5,5.0,4.0,6.0,2.0,2.0
50.0,14.5,4.0,4.0,6.0,4.0,4.0
45.0,19.5,5.0,8.0,7.0,5.0,7.0
101.0,17.0,5.0,5.0,10.0,5.0,5.0
60.0,13.9,5.0,5.0,6.0,3.0,4.0
90.0,25.0,6.0,6.0,6.0,14.0,15.0
40.0,13.87,4.0,6.0,6.0,5.0,5.0
39.0,6.9,4.0,5.0,2.0,3.0,4.0
45.0,2.2,3.0,2.0,3.0,3.0,1.0
85.0,18.8,4.0,4.0,6.0,4.0,3.0
55.0,9.4,4.0,4.0,2.0,6.0,4.0
42.0,3.25,4.0,4.0,3.0,7.0,7.0
55.0,12.5,4.0,6.0,3.0,9.0,9.0
61.0,15.3,5.0,6.0,4.0,8.0,5.0
66.0,12.6,5.0,5.0,8.0,6.0,4.0
60.0,14.0,4.0,5.0,12.0,5.0,5.0
150.0,29.8,9.0,4.0,6.0,5.0,6.0
45.0,5.75,4.0,4.0,3.0,4.0,3.0
69.0,11.5,3.0,4.0,3.0,5.0,3.0
76.0,15.0,4.0,6.0,3.0,8.0,8.0
38.0,6.4,4.0,5.0,3.0,5.0,5.0
48.0,5.2,7.0,4.0,2.0,3.0,4.0
30.0,6.2,3.0,5.0,2.0,4.0,4.0
46.0,6.7,4.0,4.0,2.0,5.0,4.0
370.0,0.27,12.0,4.0,60.0,6.0,5.0
95.0,16.5,9.0,5.0,8.0,6.0,4.0
148.0,37.0,12.0,4.0,12.0,5.0,6.0
151.0,22.0,7.0,5.0,12.0,5.0,6.0
31.0,7.1,4.0,6.0,3.0,4.0,5.0
50.0,15.2,4.0,6.0,12.0,4.0,4.0
260.0,48.0,13.0,3.0,21.0,5.0,4.0
56.0,13.0,14.0,5.0,500.0,4.0,4.0
72.0,15.8,5.0,7.0,5.0,4.0,4.0
41.0,15.3,5.0,4.0,200.0,2.0,3.0
40.0,8.9,3.0,4.0,4.0,7.0,4.0
160.0,0.225,9.0,5.0,15.0,7.0,5.0
82.0,43.0,5.0,7.0,40.0,3.0,5.0
90.0,25.5,7.0,8.0,6.0,10.0,7.0
45.0,8.0,3.0,1.0,20.0,1.0,1.0
92.0,26.8,6.0,5.0,40.0,6.0,7.0
46.0,6.3,4.0,6.0,5.0,5.0,5.0
185.0,42.0,10.0,4.0,20.0,5.0,4.0
100.0,56.0,8.0,9.0,10.0,8.0,8.0
110.0,53.0,4.0,9.0,10.0,10.0,10.0
125.0,62.5,6.0,7.0,20.0,6.0,7.0
256.0,148.0,5.0,9.0,20.0,35.0,38.0
107.0,61.99,5.0,8.0,35.0,8.0,8.0
60.0,12.5,6.0,6.0,4.0,13.0,5.0
86.0,10.89,3.0,4.0,2.0,7.0,7.0
454.0,318.0,16.0,4.0,21.0,6.0,6.0
406.0,220.0,13.0,10.0,40.0,15.0,15.0
3.3,720.0,70.0,19.0,24.0,16.0,19.0
588.0,600.0,25.0,12.0,42.0,17.0,17.0
484.0,410.0,16.0,10.0,35.0,20.0,20.0
500.0,50.0,11.0,5.0,25.0,10.0,6.0
33.0,5.65,6.0,5.0,3.0,3.0,4.0
35.0,3.4,3.0,4.0,2.0,4.0,2.0
30.0,4.5,3.0,5.0,3.0,4.0,4.0
38.0,9.6,3.0,4.0,6.0,4.0,3.0
36.0,4.65,3.0,5.0,2.0,3.0,3.0
56.0,8.3,4.0,4.0,3.0,4.0,4.0
68.0,15.0,5.0,4.0,8.0,4.0,4.0
176.0,31.5,11.0,4.0,15.0,5.0,5.0
52.0,16.6,5.0,8.0,4.0,6.0,7.0
106.0,13.2,7.0,3.0,3.0,3.0,3.0
203.0,47.5,9.0,4.0,18.0,6.0,5.0
223.0,44.5,10.0,3.0,13.0,4.0,4.0
63.0,17.0,4.0,5.0,13.0,4.0,3.0
75.0,22.8,4.0,5.0,7.0,6.0,5.0
35.0,6.5,3.0,6.0,15.0,4.0,5.0
232.0,42.0,10.0,4.0,8.0,5.0,4.0
50.0,7.55,3.0,6.0,2.0,3.0,5.0
42.0,6.7,3.0,4.0,3.0,4.0,4.0
35.0,5.1,4.0,5.0,3.0,3.0,4.0
32.0,5.2,4.0,5.0,3.0,3.0,4.0
220.0,54.0,12.0,4.0,25.0,4.0,5.0
42.0,8.3,4.0,5.0,4.0,4.0,5.0
300.0,0.18,15.0,3.0,50.0,6.0,5.0
206.0,39.0,10.0,4.0,13.0,4.0,4.0
48.0,11.8,39.0,5.0,12.0,5.0,4.0
70.0,24.5,4.0,9.0,30.0,20.0,19.0
70.0,10.9,4.0,7.0,5.0,5.0,5.0
100.0,14.3,5.0,5.0,12.0,5.0,5.0
135.0,0.2,9.0,4.0,17.0,5.0,4.0
250.0,58.5,12.0,3.0,15.0,4.0,5.0
50.0,7.65,13.0,2.0,3.0,3.0,3.0
80.0,20.5,8.0,9.0,3.0,21.0,21.0
105.0,19.0,5.0,5.0,20.0,6.0,5.0
80.0,39.5,4.0,5.0,15.0,7.0,7.0
43.0,7.8,43.0,4.0,2.0,3.0,3.0
144.0,22.0,8.0,3.0,7.0,4.0,5.0
600.0,0.017,12.0,1.0,11.0,3.0,2.0
268.0,73.5,15.0,4.0,15.0,8.0,9.0
275.0,250.0,17.0,6.0,30.0,6.0,6.0
255.0,200.0,20.0,9.0,40.0,9.0,9.0
108.0,62.0,5.0,8.0,30.0,8.0,8.0
250.0,26.0,10.0,3.0,30.0,5.0,4.0
98.0,38.0,7.0,5.0,11.0,4.0,5.0
250.0,45.0,12.0,3.0,50.0,5.0,4.0
96.0,19.5,6.0,4.0,11.0,4.0,4.0
165.0,34.0,9.0,4.0,20.0,5.0,4.0
150.0,41.0,17.0,4.0,30.0,5.0,4.0
45.0,4.3,3.0,4.0,3.0,4.0,3.0
31.0,4.7,4.0,3.0,2.0,3.0,3.0
142.0,34.0,16.0,5.0,20.0,6.0,6.0
69.0,15.8,13.0,3.0,11.0,4.0,3.0
47.0,6.55,5.0,6.0,4.0,10.0,10.0
32.0,3.1,3.0,5.0,6.0,4.0,5.0
85.0,49.5,5.0,5.0,30.0,6.0,5.0
35.0,6.9,4.0,6.0,3.0,4.0,4.0
52.0,7.0,4.0,4.0,3.0,5.0,4.0
82.0,11.9,5.0,8.0,2.0,17.0,14.0
30.0,6.98,4.0,5.0,6.0,4.0,4.0
90.0,18.0,6.0,6.0,22.0,4.0,5.0
118.0,13.8,8.0,2.0,2.0,5.0,5.0
75.0,23.5,5.0,5.0,17.0,5.0,5.0
75.0,16.0,5.0,5.0,10.0,5.0,5.0
80.0,45.0,6.0,8.0,20.0,8.0,8.0
78.0,32.0,6.0,5.0,30.0,6.0,5.0
82.0,29.9,12.0,2.0,12.0,3.0,3.0
30.0,4.5,34.0,4.0,5.0,2.0,2.0
90.0,15.0,6.0,3.0,5.0,3.0,4.0
165.0,38.5,9.0,4.0,13.0,4.0,5.0
45.0,8.5,3.0,5.0,5.0,6.0,4.0
30.0,4.9,4.0,5.0,2.0,3.0,4.0
72.0,6.6,5.0,4.0,3.0,4.0,5.0
121.0,12.65,5.0,1.0,2.0,2.0,2.0
52.0,8.9,5.0,5.0,4.0,5.0,4.0
37.0,5.6,3.0,5.0,3.0,5.0,4.0
40.0,3.8,5.0,5.0,4.0,3.0,4.0
239.0,95.0,25.0,4.0,30.0,4.0,6.0
376.0,115.0,14.0,5.0,15.0,4.0,6.0
76.0,24.5,4.0,7.0,5.0,5.0,6.0
40.0,10.5,12.0,4.0,5.0,3.0,4.0
83.0,15.0,5.0,5.0,16.0,4.0,5.0
287.0,37.0,12.0,5.0,15.0,5.0,3.0
35.0,8.6,3.0,5.0,10.0,6.0,7.0
42.0,6.6,5.0,6.0,4.0,3.0,4.0
78.0,53.8,6.0,8.0,18.0,4.0,8.0
231.0,0.175,13.0,4.0,15.0,6.0,6.0
70.0,14.9,5.0,4.0,13.0,4.0,4.0
170.0,18.5,12.0,4.0,2.0,8.0,6.0
32.0,4.88,4.0,4.0,3.0,3.0,3.0
36.0,5.5,4.0,4.0,3.0,4.0,3.0
500.0,410.0,17.0,11.0,30.0,15.0,15.0
100.0,10.0,5.0,5.0,15.0,6.0,6.0
40.0,7.5,5.0,4.0,4.0,5.0,4.0
80.0,80.0,11.0,7.0,15.0,7.0,7.0
53.0,10.68,4.0,6.0,2.0,10.0,10.0
59.0,15.5,5.0,5.0,18.0,5.0,4.0
68.0,26.5,5.0,5.0,5.0,4.0,4.0
45.0,8.0,5.0,5.0,3.0,4.0,4.0
520.0,250.0,15.0,11.0,10.0,98.0,98.0
100.0,11.8,6.0,7.0,3.0,16.0,16.0
48.0,5.75,4.0,4.0,2.0,4.0,4.0
75.0,16.99,5.0,8.0,4.0,22.0,22.0
266.0,80.0,11.0,8.0,12.0,6.0,8.0
72.0,3.65,6.0,2.0,2.0,3.0,2.0
35.0,4.5,36.0,5.0,3.0,6.0,4.0
38.0,8.5,3.0,6.0,2.0,4.0,5.0
65.0,32.5,5.0,7.0,7.0,4.0,6.0
62.0,16.6,5.0,5.0,72.0,6.0,5.0
406.0,220.0,20.0,10.0,30.0,57.0,20.0
300.0,98.0,9.0,10.0,5.0,60.0,53.0
138.0,39.5,15.0,5.0,32.0,5.0,5.0
42.0,4.9,6.0,5.0,4.0,4.0,4.0
34.0,5.0,3.0,5.0,2.0,4.0,4.0
232.0,42.0,12.0,3.0,8.0,5.0,4.0
30.0,3.46,3.0,5.0,2.0,4.0,3.0
40.0,5.5,3.0,5.0,3.0,4.0,4.0
105.0,14.3,5.0,4.0,2.0,4.0,3.0
78.0,13.2,5.0,4.0,8.0,4.0,3.0
55.0,11.0,5.0,6.0,5.0,6.0,6.0
159.0,45.0,13.0,4.0,8.0,4.0,4.0
100.0,48.5,12.0,8.0,6.0,4.0,8.0
128.0,39.0,8.0,3.0,6.0,4.0,4.0
80.0,18.3,6.0,5.0,9.0,5.0,5.0
130.0,28.9,6.0,4.0,9.0,7.0,4.0
55.0,9.4,4.0,5.0,3.0,6.0,4.0
33.0,3.85,4.0,5.0,3.0,3.0,4.0
226.0,105.0,30.0,7.0,25.0,10.0,10.0
86.0,19.2,5.0,5.0,12.0,5.0,4.0
40.0,8.08,4.0,6.0,3.0,4.0,5.0
52.0,16.5,5.0,8.0,7.0,5.0,6.0
52.0,16.5,5.0,8.0,7.0,5.0,6.0
60.0,10.18,5.0,5.0,3.0,5.0,4.0
60.0,10.18,5.0,5.0,3.0,5.0,5.0
35.0,5.65,3.0,5.0,2.0,4.0,4.0
80.0,25.0,7.0,5.0,8.0,5.0,6.0
39.0,9.3,5.0,5.0,10.0,3.0,3.0
60.0,10.5,5.0,5.0,12.0,4.0,4.0
32.0,4.95,5.0,5.0,7.0,3.0,3.0
45.0,9.85,6.0,6.0,6.0,3.0,3.0
50.0,11.3,4.0,5.0,12.0,6.0,6.0
45.0,13.2,4.0,5.0,8.0,4.0,4.0
95.0,21.3,6.0,4.0,13.0,4.0,5.0
90.0,13.4,4.0,7.0,12.0,11.0,8.0
161.0,0.135,13.0,5.0,13.0,5.0,5.0
200.0,68.0,9.0,10.0,5.0,42.0,44.0
180.0,33.0,9.0,4.0,22.0,5.0,5.0
88.0,16.0,5.0,4.0,8.0,4.0,3.0
28.0,5.2,4.0,5.0,3.0,4.0,3.0
82.0,15.6,4.0,6.0,12.0,6.0,5.0
61.0,22.0,5.0,4.0,7.0,4.0,4.0
45.0,9.8,4.0,1.0,5.0,1.0,1.0
85.0,12.3,5.0,1.0,8.0,1.0,1.0
53.0,6.7,4.0,3.0,3.0,4.0,3.0
100.0,26.5,7.0,5.0,15.0,4.0,5.0
118.0,26.8,6.0,5.0,10.0,6.0,4.0
37.0,4.0,4.0,6.0,5.0,4.0,4.0
195.0,85.0,15.0,5.0,20.0,5.0,6.0
85.0,0.28,5.0,5.0,17.0,9.0,5.0
605.0,245.0,16.0,6.0,40.0,6.0,6.0
145.0,0.37,9.0,4.0,30.0,4.0,4.0
54.0,12.9,3.0,4.0,5.0,4.0,5.0
66.0,13.7,5.0,4.0,6.0,4.0,4.0
46.0,2.3,5.0,3.0,3.0,2.0,2.0
32.0,3.15,3.0,4.0,2.0,4.0,3.0
44.0,11.95,4.0,4.0,6.0,4.0,3.0
45.0,7.2,4.0,5.0,4.0,6.0,5.0
65.0,15.0,6.0,7.0,10.0,6.0,7.0
61.0,10.1,10.0,6.0,7.0,4.0,4.0
45.0,7.5,3.0,4.0,8.0,3.0,3.0
50.0,12.0,4.0,7.0,12.0,6.0,6.0
79.0,15.6,13.0,4.0,8.0,5.0,3.0
60.0,8.3,4.0,2.0,15.0,2.0,2.0
61.0,20.99,5.0,6.0,7.0,6.0,5.0
51.0,19.5,5.0,7.0,10.0,7.0,6.0
45.0,11.0,3.0,5.0,8.0,4.0,5.0
65.0,10.7,5.0,5.0,5.0,3.0,4.0
38.0,5.9,3.0,5.0,3.0,5.0,5.0
60.0,12.5,5.0,2.0,4.0,2.0,2.0
78.0,18.7,4.0,4.0,6.0,4.0,4.0
45.0,12.5,5.0,7.0,4.0,5.0,6.0
62.0,13.9,5.0,4.0,6.0,6.0,7.0
61.0,14.9,4.0,1.0,9.0,1.0,1.0
60.0,13.8,5.0,7.0,14.0,5.0,5.0
196.0,62.0,7.0,5.0,20.0,4.0,4.0
160.0,42.0,8.0,5.0,20.0,6.0,5.0
45.0,3.5,4.0,3.0,2.0,3.0,3.0
110.0,12.8,7.0,5.0,3.0,6.0,5.0
39.0,4.1,3.0,1.0,2.0,1.0,1.0
114.0,31.3,6.0,6.0,13.0,6.0,7.0
50.0,11.5,36.0,5.0,3.0,6.0,5.0
40.0,2.35,4.0,3.0,3.0,3.0,3.0
132.0,14.0,6.0,4.0,17.0,6.0,5.0
52.0,11.2,4.0,5.0,3.0,4.0,4.0
31.0,4.8,3.0,5.0,3.0,3.0,3.0
100.0,21.0,13.0,6.0,3.0,25.0,25.0
40.0,5.35,4.0,6.0,2.0,4.0,6.0
38.0,6.9,3.0,5.0,2.0,6.0,4.0
54.0,6.2,5.0,5.0,2.0,8.0,9.0
36.0,5.6,4.0,5.0,3.0,3.0,4.0
54.0,14.8,3.0,5.0,8.0,4.0,5.0
45.0,14.9,5.0,7.0,6.0,4.0,6.0
90.0,20.0,4.0,5.0,10.0,4.0,4.0
60.0,18.0,5.0,7.0,8.0,6.0,7.0
60.0,18.0,5.0,7.0,8.0,6.0,7.0
45.0,11.8,5.0,4.0,5.0,4.0,4.0
59.0,22.9,5.0,8.0,10.0,6.0,7.0
48.0,21.2,4.0,4.0,20.0,4.0,5.0
42.0,9.0,3.0,5.0,2.0,6.0,4.0
80.0,34.0,21.0,4.0,50.0,2.0,1.0
43.0,5.85,547.0,5.0,50.0,4.0,5.0
468.0,105.0,30.0,5.0,50.0,12.0,12.0
279.0,135.0,19.0,5.0,20.0,6.0,7.0
250.0,219.0,21.0,10.0,40.0,10.0,10.0
121.0,27.5,6.0,4.0,30.0,5.0,5.0
42.0,5.0,4.0,5.0,3.0,6.0,4.0
100.0,28.5,6.0,7.0,4.0,29.0,29.0
60.0,13.0,5.0,6.0,2.0,18.0,19.0
81.0,16.99,5.0,7.0,3.0,22.0,22.0
55.0,24.5,5.0,8.0,13.0,8.0,6.0
86.0,25.5,6.0,8.0,13.0,8.0,8.0
64.0,3.7,4.0,3.0,4.0,2.0,3.0
459.0,110.0,18.0,5.0,20.0,6.0,6.0
279.0,115.0,19.0,5.0,15.0,6.0,6.0
42.0,8.4,4.0,5.0,3.0,5.0,4.0
40.0,6.9,5.0,6.0,4.0,4.0,5.0
70.0,13.5,4.0,5.0,10.0,4.0,5.0
50.0,17.9,4.0,6.0,10.0,6.0,5.0
94.0,13.5,5.0,4.0,16.0,6.0,4.0
53.0,10.65,4.0,6.0,2.0,10.0,10.0
